application,library,version,last_updated,age_days,age_months,age_years,maintenance_status,risk_level,recommendation
PaymentService,spring-boot-starter,4.7.1,2025-04-20,448,14.7,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,spring-web,4.0.1,2024-09-02,678,22.3,1.86,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,hibernate-validator,4.10.5,2026-02-25,137,4.5,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,assertj-core,2.0.5,2024-09-17,663,21.8,1.82,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,jackson-core,4.3.4,2024-12-13,576,18.9,1.58,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,netty-all,5.4.7,2022-06-05,1498,49.2,4.1,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
PaymentService,tomcat-embed-core,5.10.8,2025-03-08,491,16.1,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,postgresql-jdbc,2.13.9,2025-04-18,450,14.8,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,slf4j-api,2.5.8,2025-10-05,280,9.2,0.77,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,micrometer-core,5.9.6,2020-04-25,2269,74.5,6.21,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
PaymentService,mapstruct,2.9.10,2025-12-07,217,7.1,0.59,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,golangci-lint,4.3.9,2025-07-04,373,12.3,1.02,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,hibernate-core,3.1.6,2024-07-26,716,23.5,1.96,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,jackson-databind,2.11.9,2024-11-29,590,19.4,1.62,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,kafka-clients,1.10.7,2026-03-03,131,4.3,0.36,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,log4j-api,5.11.1,2025-10-31,254,8.3,0.7,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,psycopg2,1.11.3,2026-02-24,138,4.5,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,commons-collections4,3.14.3,2025-04-25,443,14.6,1.21,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,junit-jupiter,5.9.0,2025-10-12,273,9.0,0.75,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,jetty-server,2.10.8,2024-06-08,764,25.1,2.09,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,mysql-connector-java,1.6.8,2024-08-13,698,22.9,1.91,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,bouncycastle-bcprov,2.8.8,2026-03-08,126,4.1,0.34,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,h2-database,1.12.0,2023-11-05,980,32.2,2.68,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,jackson-annotations,3.9.1,2026-04-08,95,3.1,0.26,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,testify,2.2.6,2024-10-26,624,20.5,1.71,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,morgan,3.0.8,2023-05-06,1163,38.2,3.18,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
PaymentService,protobuf-java,3.3.5,2024-11-12,607,19.9,1.66,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,disruptor,2.3.4,2024-07-26,716,23.5,1.96,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,commons-lang3,4.10.8,2024-01-26,898,29.5,2.46,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,commons-codec,3.5.2,2024-12-16,573,18.8,1.57,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,logback-classic,3.7.7,2026-01-01,192,6.3,0.53,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,lombok,3.12.5,2025-01-13,545,17.9,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,log4j-core,4.4.5,2025-06-03,404,13.3,1.11,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,spring-core,3.7.8,2024-10-22,628,20.6,1.72,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,aiohttp,2.4.1,2024-07-02,740,24.3,2.03,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,netty-handler,4.12.3,2025-12-05,219,7.2,0.6,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,bandit,3.6.3,2025-09-19,296,9.7,0.81,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,requests,4.15.9,2025-01-22,536,17.6,1.47,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pip,2.4.2,2025-05-05,433,14.2,1.19,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,twisted,2.5.2,2024-07-28,714,23.5,1.95,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,setuptools,2.12.9,2025-03-18,481,15.8,1.32,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,numpy,5.8.2,2022-02-13,1610,52.9,4.41,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,aws-sdk-s3,5.13.2,2022-12-24,1296,42.6,3.55,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,junit-jupiter,4.13.5,2025-06-26,381,12.5,1.04,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,black,3.15.3,2024-12-11,578,19.0,1.58,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,psycopg2,1.3.8,2025-04-20,448,14.7,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pydantic,5.8.4,2025-07-12,365,12.0,1.0,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,log4j-api,2.3.3,2025-05-13,425,14.0,1.16,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,paramiko,1.2.4,2025-07-16,361,11.9,0.99,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,markupsafe,2.15.7,2025-11-13,241,7.9,0.66,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,pandas,5.5.10,2021-07-19,1819,59.8,4.98,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,bandit,1.2.8,2025-03-11,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,cryptography,4.12.9,2024-09-18,662,21.7,1.81,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,sqlalchemy,5.8.8,2025-02-05,522,17.1,1.43,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,redis-py,2.10.6,2024-09-04,676,22.2,1.85,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pyyaml,2.15.5,2024-12-12,577,19.0,1.58,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,node-fetch,2.11.2,2024-06-07,765,25.1,2.09,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,httpx,4.5.8,2025-08-08,338,11.1,0.93,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,coverage,2.14.1,2025-06-24,383,12.6,1.05,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,zap,2.8.3,2025-01-02,556,18.3,1.52,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,fastapi,5.4.9,2025-08-17,329,10.8,0.9,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,mocha,2.10.7,2020-11-30,2050,67.4,5.61,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,jinja2,3.15.10,2025-02-19,508,16.7,1.39,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,python-dateutil,5.6.9,2025-04-29,439,14.4,1.2,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,flask,5.9.7,2025-08-06,340,11.2,0.93,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,wheel,2.10.3,2025-03-05,494,16.2,1.35,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,certifi,2.0.2,2025-01-02,556,18.3,1.52,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,botocore,4.1.0,2024-11-07,612,20.1,1.68,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,rich,4.9.3,2024-11-22,597,19.6,1.63,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,ansible-core,3.10.7,2025-12-05,219,7.2,0.6,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,pyjwt,5.13.8,2024-08-31,680,22.3,1.86,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,fabric,5.4.5,2025-10-02,283,9.3,0.77,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,colly,3.9.3,2025-12-27,197,6.5,0.54,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,click,4.6.3,2025-01-12,546,17.9,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,celery,2.8.4,2024-12-10,579,19.0,1.59,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,uvicorn,2.2.4,2026-02-28,134,4.4,0.37,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,safety,4.3.5,2024-06-23,749,24.6,2.05,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,idna,2.1.4,2020-07-03,2200,72.3,6.02,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,boto3,2.5.6,2024-07-03,739,24.3,2.02,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,django,1.4.6,2025-02-12,515,16.9,1.41,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,werkzeug,1.1.3,2024-07-05,737,24.2,2.02,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,urllib3,2.7.6,2024-01-31,893,29.3,2.44,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,scikit-learn,3.7.4,2024-09-24,656,21.6,1.8,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,gunicorn,3.0.2,2024-06-10,762,25.0,2.09,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,go-redis,4.11.2,2026-02-24,138,4.5,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,pytest,1.5.2,2025-04-21,447,14.7,1.22,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pillow,3.12.7,2024-10-16,634,20.8,1.74,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,coverage,5.12.10,2026-02-11,151,5.0,0.41,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,morgan,4.11.0,2024-08-19,692,22.7,1.89,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,sqlalchemy,5.13.1,2024-09-15,665,21.8,1.82,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,paramiko,5.10.10,2025-12-16,208,6.8,0.57,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,gunicorn,3.11.7,2025-11-13,241,7.9,0.66,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,numpy,1.9.3,2025-12-19,205,6.7,0.56,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,pytest,2.8.5,2022-03-29,1566,51.4,4.29,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,python-dateutil,2.15.9,2026-01-12,181,5.9,0.5,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,cors,4.13.1,2026-03-12,122,4.0,0.33,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,django,2.10.8,2026-01-31,162,5.3,0.44,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,mypy,2.4.5,2025-07-14,363,11.9,0.99,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,boto3,4.6.8,2025-08-15,331,10.9,0.91,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,httpx,3.6.5,2026-02-22,140,4.6,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,scipy,1.3.0,2024-06-15,757,24.9,2.07,Outdated,High,Prioritize an upgrade or identify a supported replacement.
HRPortal,moment,2.6.3,2024-10-23,627,20.6,1.72,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,fastapi,5.1.4,2025-09-20,295,9.7,0.81,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,twisted,3.11.1,2025-06-25,382,12.6,1.05,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,pyjwt,5.2.2,2021-05-21,1878,61.7,5.14,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,uuid,1.8.6,2025-01-17,541,17.8,1.48,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,formidable,4.4.1,2025-01-19,539,17.7,1.48,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,pyyaml,5.10.7,2024-12-25,564,18.5,1.54,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,idna,2.10.2,2025-04-07,461,15.1,1.26,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,bandit,1.8.9,2020-06-11,2222,73.0,6.08,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,ansible-core,3.5.6,2024-06-16,756,24.8,2.07,Outdated,High,Prioritize an upgrade or identify a supported replacement.
HRPortal,urllib3,4.12.0,2026-01-07,186,6.1,0.51,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,aiohttp,2.12.0,2025-08-25,321,10.5,0.88,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,pandas,5.4.7,2026-01-21,172,5.7,0.47,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,cryptography,2.14.1,2024-10-05,645,21.2,1.77,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,pydantic,4.11.1,2024-11-11,608,20.0,1.66,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,caffeine,2.4.2,2025-08-31,315,10.3,0.86,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,markupsafe,2.0.9,2025-10-24,261,8.6,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,typescript,4.13.7,2026-03-06,128,4.2,0.35,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,hibernate-validator,1.4.0,2022-05-03,1531,50.3,4.19,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,botocore,1.13.8,2025-11-22,232,7.6,0.64,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,safety,1.2.7,2026-02-14,148,4.9,0.41,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,flask,4.7.2,2024-06-02,770,25.3,2.11,Outdated,High,Prioritize an upgrade or identify a supported replacement.
HRPortal,pillow,1.0.7,2026-02-21,141,4.6,0.39,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,rich,4.0.5,2021-02-16,1972,64.8,5.4,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,charset-normalizer,3.4.1,2024-09-25,655,21.5,1.79,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,requests,3.6.0,2026-04-20,83,2.7,0.23,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,bcrypt,1.10.2,2025-05-10,428,14.1,1.17,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,click,1.8.4,2024-12-31,558,18.3,1.53,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,hibernate-core,3.12.5,2022-02-07,1616,53.1,4.42,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,celery,2.9.6,2025-04-19,449,14.8,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,psycopg2,3.6.1,2025-04-06,462,15.2,1.26,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,six,2.8.4,2024-09-03,677,22.2,1.85,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,scikit-learn,4.8.2,2025-04-14,454,14.9,1.24,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,setuptools,2.12.1,2024-12-28,561,18.4,1.54,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,uvicorn,4.6.8,2026-01-30,163,5.4,0.45,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,matplotlib,1.5.7,2025-04-16,452,14.9,1.24,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,moment,1.14.1,2025-01-16,542,17.8,1.48,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,formidable,5.8.5,2025-04-29,439,14.4,1.2,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,cheerio,3.15.7,2020-07-29,2174,71.4,5.95,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
AnalyticsDashboard,bcrypt,1.9.8,2025-10-07,278,9.1,0.76,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,mocha,4.10.8,2026-01-09,184,6.0,0.5,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,nanoid,3.12.1,2025-10-20,265,8.7,0.73,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,winston,1.4.10,2024-12-28,561,18.4,1.54,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,sequelize,3.2.9,2024-10-09,641,21.1,1.75,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,commander,2.13.9,2025-01-03,555,18.2,1.52,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,dotenv,4.4.4,2024-10-26,624,20.5,1.71,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
