application,dependency_id,library,version,dependency_type,cve_id,cvss,severity,patch_available,exploitability,description,fixed_version,affected_version_range
HRPortal,DEP-0198,setuptools,2.12.1,Transitive,CVE-2024-1169,6.3,MEDIUM,True,LOW,Open redirect vulnerability in URL handling,3.0.0,"4.2.0,1.10.0"
AnalyticsDashboard,DEP-0208,sequelize,3.2.9,Direct,CVE-2025-1125,7.2,HIGH,True,LOW,Authentication bypass via timing attack on token comparison,2.0.0,"4.2.0,1.9.0"
AnalyticsDashboard,DEP-0208,sequelize,3.2.9,Direct,CVE-2023-1167,9.4,CRITICAL,True,MEDIUM,Server-side request forgery (SSRF) via URL parameter,6.0.0,"2.5.0,4.10.0"
AnalyticsDashboard,DEP-0210,dotenv,4.4.4,Direct,CVE-2023-1152,3.7,LOW,False,LOW,Authentication bypass via timing attack on token comparison,,"1.5.0,4.7.0"
AnalyticsDashboard,DEP-0217,nodemon,2.15.2,Direct,CVE-2023-1132,3.8,LOW,False,MEDIUM,Open redirect vulnerability in URL handling,,"2.5.0,4.8.0"
AnalyticsDashboard,DEP-0229,apollo-server,5.1.6,Direct,CVE-2026-1029,7.3,HIGH,True,LOW,Insecure random number generation for cryptographic operations,5.5.0,"5.1.0,5.4.0"
AnalyticsDashboard,DEP-0243,bull,3.3.1,Transitive,CVE-2023-1113,0.2,LOW,True,LOW,Privilege escalation through unsafe deserialization,2.0.0,"3.2.0,4.10.0"
AnalyticsDashboard,DEP-0245,express,3.4.3,Transitive,CVE-2022-1171,5.5,MEDIUM,False,NONE,Open redirect vulnerability in URL handling,,"4.4.0,1.12.0"
AnalyticsDashboard,DEP-0247,testify,2.9.8,Transitive,CVE-2026-1045,8.0,HIGH,True,LOW,Server-side request forgery (SSRF) via URL parameter,2.10.0,"2.7.0,2.10.0"
MobileBackend,DEP-0254,pyjwt,2.0.4,Direct,CVE-2024-1153,1.1,LOW,True,LOW,Prototype pollution in object merge utility,5.0.0,"4.3.0,1.12.0"
MobileBackend,DEP-0271,json-iterator,3.5.4,Direct,CVE-2022-1083,6.5,MEDIUM,False,LOW,Open redirect vulnerability in URL handling,,"3.3.0,3.6.0"
MobileBackend,DEP-0275,aiohttp,2.9.2,Direct,CVE-2022-1108,8.2,HIGH,True,LOW,Privilege escalation through unsafe deserialization,3.0.0,"1.2.0,3.12.0"
MobileBackend,DEP-0277,bcrypt-go,3.1.1,Direct,CVE-2023-1121,2.5,LOW,True,MEDIUM,Cross-site scripting (XSS) in template rendering engine,5.0.0,"3.3.0,2.12.0"
MobileBackend,DEP-0286,react-dom,3.6.1,Transitive,CVE-2022-1166,7.2,HIGH,False,HIGH,Buffer overflow in native binding,,"2.5.0,4.7.0"
MobileBackend,DEP-0286,react-dom,3.6.1,Transitive,CVE-2025-1179,8.3,HIGH,True,LOW,Use-after-free in connection pool management,4.0.0,"4.2.0,2.7.0"
MobileBackend,DEP-0286,react-dom,3.6.1,Transitive,CVE-2022-1194,7.1,HIGH,True,MEDIUM,Open redirect vulnerability in URL handling,6.0.0,"3.1.0,4.12.0"
MobileBackend,DEP-0290,commons-lang3,2.5.7,Transitive,CVE-2025-1182,6.4,MEDIUM,True,MEDIUM,Server-side request forgery (SSRF) via URL parameter,2.0.0,"1.3.0,3.8.0"
MobileBackend,DEP-0291,jedis,2.7.1,Transitive,CVE-2025-1195,1.1,LOW,True,LOW,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"1.3.0,3.11.0"
DevToolkit,DEP-0305,mypy,3.2.5,Direct,CVE-2022-1175,4.7,MEDIUM,True,LOW,Information disclosure through verbose error messages,5.0.0,"4.3.0,2.12.0"
DevToolkit,DEP-0306,certifi,3.2.1,Direct,CVE-2022-1168,1.4,LOW,True,MEDIUM,Information disclosure through verbose error messages,3.0.0,"2.2.0,3.10.0"
DevToolkit,DEP-0324,bandit,5.2.4,Direct,CVE-2023-1065,5.3,MEDIUM,True,NONE,Buffer overflow in native binding,5.3.0,"5.2.0,5.4.0"
DevToolkit,DEP-0328,ansible-core,4.9.9,Direct,CVE-2025-1141,6.3,MEDIUM,False,LOW,Cross-site scripting (XSS) in template rendering engine,,"1.4.0,4.10.0"
DevToolkit,DEP-0343,aiohttp,2.2.8,Transitive,CVE-2022-1108,8.2,HIGH,True,LOW,Privilege escalation through unsafe deserialization,3.0.0,"1.2.0,3.12.0"
ComplianceEngine,DEP-0357,jedis,1.6.9,Direct,CVE-2025-1195,1.1,LOW,True,LOW,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"1.3.0,3.11.0"
ComplianceEngine,DEP-0366,bouncycastle-bcprov,2.8.6,Direct,CVE-2025-1191,0.6,LOW,True,LOW,Denial of service through recursive parsing of nested structures,4.0.0,"1.4.0,2.9.0"
ComplianceEngine,DEP-0367,log4j-api,4.8.3,Direct,CVE-2022-1041,6.3,MEDIUM,False,MEDIUM,Path traversal allowing arbitrary file read,,"4.7.0,4.10.0"
ComplianceEngine,DEP-0377,jackson-databind,4.2.1,Direct,CVE-2024-1117,5.6,MEDIUM,True,LOW,Integer overflow leading to heap corruption,5.0.0,"3.3.0,4.10.0"
ComplianceEngine,DEP-0383,hibernate-validator,2.7.7,Direct,CVE-2024-1060,9.7,CRITICAL,True,MEDIUM,Server-side request forgery (SSRF) via URL parameter,2.8.0,"2.7.0,2.10.0"
ComplianceEngine,DEP-0384,jackson-annotations,3.0.1,Direct,CVE-2025-1147,4.7,MEDIUM,True,MEDIUM,Path traversal allowing arbitrary file read,2.0.0,"4.4.0,1.7.0"
ComplianceEngine,DEP-0398,aws-sdk-sqs,2.1.1,Transitive,CVE-2022-1107,5.6,MEDIUM,True,NONE,XML external entity (XXE) injection in parser,5.0.0,"1.3.0,4.6.0"
ComplianceEngine,DEP-0399,disruptor,2.11.2,Transitive,CVE-2024-1174,7.4,HIGH,True,LOW,Server-side request forgery (SSRF) via URL parameter,2.0.0,"4.2.0,1.8.0"
ComplianceEngine,DEP-0400,netty-all,3.5.6,Transitive,CVE-2024-1163,6.8,MEDIUM,True,NONE,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"4.3.0,2.8.0"
NotificationService,DEP-0407,ansible-core,2.8.10,Direct,CVE-2025-1114,2.6,LOW,True,MEDIUM,Open redirect vulnerability in URL handling,6.0.0,"1.0.0,2.9.0"
NotificationService,DEP-0407,ansible-core,2.8.10,Direct,CVE-2025-1141,6.3,MEDIUM,False,LOW,Cross-site scripting (XSS) in template rendering engine,,"1.4.0,4.10.0"
NotificationService,DEP-0407,ansible-core,2.8.10,Direct,CVE-2022-1157,5.4,MEDIUM,True,LOW,Buffer overflow in native binding,4.0.0,"4.0.0,1.10.0"
NotificationService,DEP-0421,sequelize,2.12.8,Direct,CVE-2025-1125,7.2,HIGH,True,LOW,Authentication bypass via timing attack on token comparison,2.0.0,"4.2.0,1.9.0"
NotificationService,DEP-0421,sequelize,2.12.8,Direct,CVE-2023-1167,9.4,CRITICAL,True,MEDIUM,Server-side request forgery (SSRF) via URL parameter,6.0.0,"2.5.0,4.10.0"
NotificationService,DEP-0428,multer,2.8.9,Direct,CVE-2022-1120,4.4,MEDIUM,True,HIGH,Integer overflow leading to heap corruption,2.0.0,"3.4.0,1.12.0"
NotificationService,DEP-0444,dotenv,3.3.4,Transitive,CVE-2023-1109,1.2,LOW,True,MEDIUM,Open redirect vulnerability in URL handling,6.0.0,"2.0.0,3.8.0"
NotificationService,DEP-0444,dotenv,3.3.4,Transitive,CVE-2024-1139,1.1,LOW,True,HIGH,Server-side request forgery (SSRF) via URL parameter,3.0.0,"1.2.0,3.11.0"
NotificationService,DEP-0444,dotenv,3.3.4,Transitive,CVE-2023-1152,3.7,LOW,False,LOW,Authentication bypass via timing attack on token comparison,,"1.5.0,4.7.0"
NotificationService,DEP-0445,nodemon,4.1.5,Transitive,CVE-2023-1132,3.8,LOW,False,MEDIUM,Open redirect vulnerability in URL handling,,"2.5.0,4.8.0"
VendorGateway,DEP-0462,jackson-annotations,3.5.6,Direct,CVE-2025-1147,4.7,MEDIUM,True,MEDIUM,Path traversal allowing arbitrary file read,2.0.0,"4.4.0,1.7.0"
VendorGateway,DEP-0467,gin,3.2.4,Direct,CVE-2023-1159,2.6,LOW,False,MEDIUM,Remote code execution via JNDI lookup in log messages,,"1.0.0,4.9.0"
VendorGateway,DEP-0472,cobra,3.5.6,Direct,CVE-2025-1164,9.6,CRITICAL,True,HIGH,Remote code execution via deserialization of untrusted data,4.0.0,"2.5.0,4.8.0"
VendorGateway,DEP-0482,gorm,2.10.5,Direct,CVE-2024-1193,1.2,LOW,True,LOW,Path traversal allowing arbitrary file read,2.0.0,"2.5.0,4.8.0"
VendorGateway,DEP-0493,certifi,2.7.3,Transitive,CVE-2022-1168,1.4,LOW,True,MEDIUM,Information disclosure through verbose error messages,3.0.0,"2.2.0,3.10.0"
