application,library,version,license,compatibility_status,severity,reason,recommendation
Customer Portal,Jackson,3.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Log4j,1.5.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Log4j,2.17.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Gson,3.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,SnakeYAML,1.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Log4j,2.17.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,SLF4J,2.14.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,SLF4J,3.2.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Jackson,1.0.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Log4j,2.14.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Guava,3.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Customer Portal,BouncyCastle,1.5.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Jetty,1.5.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,SLF4J,1.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,OpenSSL,3.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Jackson,1.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Customer Portal,Tomcat,3.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Customer Portal,Gson,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Spring Boot,1.5.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,React,2.14.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Payment Gateway,Express,2.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,FastAPI,2.14.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Kafka Client,3.0.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,PostgreSQL JDBC,3.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,MySQL Connector,2.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Redis Client,2.14.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Netty,1.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Hibernate,2.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,JUnit5,2.17.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,SLF4J,2.14.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Log4j,3.2.1,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Payment Gateway,SLF4J,1.5.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,SLF4J,2.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,BouncyCastle,2.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Axios,2.14.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Commons IO,1.5.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Gson,3.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Axios,1.5.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Payment Gateway,Gson,1.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Jackson,2.17.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Gson,1.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Jackson,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Tomcat,3.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Payment Gateway,Guava,3.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,SnakeYAML,1.5.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,SLF4J,1.5.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,BouncyCastle,2.17.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Tomcat,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Lodash,3.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,JUnit5,2.0.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Tomcat,1.5.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Jackson,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,SnakeYAML,2.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,BouncyCastle,1.0.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,OkHttp,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Guava,3.2.1,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Payment Gateway,Log4j,3.2.1,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Gson,1.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,OpenSSL,2.14.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Guava,2.17.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Payment Gateway,Tomcat,1.5.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Guava,3.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Payment Gateway,Tomcat,1.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Gson,1.5.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Lodash,3.2.1,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Payment Gateway,Jackson,2.14.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,Tomcat,1.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Payment Gateway,BouncyCastle,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Spring Boot,1.5.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,React,1.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,Express,2.17.1,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,FastAPI,2.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Kafka Client,2.0.0,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,PostgreSQL JDBC,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,MySQL Connector,3.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Redis Client,3.0.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Netty,2.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Hibernate,1.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,OkHttp,2.17.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,OkHttp,3.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Jackson,3.2.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,SnakeYAML,2.14.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Tomcat,3.2.1,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,OkHttp,2.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,Gson,3.2.1,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Commons IO,2.14.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Jackson,3.2.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,OpenSSL,2.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,OpenSSL,3.2.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Axios,1.5.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,JUnit5,2.0.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Guava,3.2.1,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Axios,1.0.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,SLF4J,2.14.1,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Commons IO,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,SnakeYAML,3.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Tomcat,2.17.1,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Guava,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,BouncyCastle,1.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Log4j,2.17.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,SLF4J,1.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Tomcat,3.0.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Commons IO,1.5.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Gson,2.14.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,BouncyCastle,3.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,OpenSSL,2.17.1,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,OkHttp,3.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,SnakeYAML,3.2.1,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,Log4j,2.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Axios,2.0.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Log4j,3.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,SLF4J,2.14.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Commons IO,1.5.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Commons IO,2.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRMS,BouncyCastle,2.17.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRMS,Guava,1.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Log4j,1.5.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRMS,Jetty,1.5.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Spring Boot,3.2.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,React,3.0.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Express,1.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,FastAPI,1.0.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Kafka Client,3.2.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,PostgreSQL JDBC,3.2.1,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,MySQL Connector,2.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,Redis Client,2.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,Netty,1.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,Hibernate,1.5.0,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,JUnit5,2.17.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,BouncyCastle,1.0.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Jetty,3.2.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,Tomcat,2.17.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,OkHttp,3.2.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Jackson,1.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Axios,3.0.0,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Guava,1.5.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,Guava,2.0.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,Jackson,1.5.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Inventory Service,Jackson,2.17.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Inventory Service,Lodash,1.5.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Inventory Service,Jackson,3.2.1,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
