application,library,version,last_updated,age_days,age_months,age_years,maintenance_status,risk_level,recommendation
PaymentService,h2-database,1.12.0,2023-11-05,979,32.2,2.68,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,jackson-annotations,3.9.1,2026-04-08,94,3.1,0.26,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,testify,2.2.6,2024-10-26,623,20.5,1.71,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,morgan,3.0.8,2023-05-06,1162,38.2,3.18,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
PaymentService,protobuf-java,3.3.5,2024-11-12,606,19.9,1.66,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,disruptor,2.3.4,2024-07-26,715,23.5,1.96,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,commons-lang3,4.10.8,2024-01-26,897,29.5,2.46,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,commons-codec,3.5.2,2024-12-16,572,18.8,1.57,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,logback-classic,3.7.7,2026-01-01,191,6.3,0.52,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,lombok,3.12.5,2025-01-13,544,17.9,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,log4j-core,4.4.5,2025-06-03,403,13.2,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,spring-core,3.7.8,2024-10-22,627,20.6,1.72,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,aiohttp,2.4.1,2024-07-02,739,24.3,2.02,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,netty-handler,4.12.3,2025-12-05,218,7.2,0.6,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,bandit,3.6.3,2025-09-19,295,9.7,0.81,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,requests,4.15.9,2025-01-22,535,17.6,1.46,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pip,2.4.2,2025-05-05,432,14.2,1.18,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,twisted,2.5.2,2024-07-28,713,23.4,1.95,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,setuptools,2.12.9,2025-03-18,480,15.8,1.31,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,numpy,5.8.2,2022-02-13,1609,52.9,4.41,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,aws-sdk-s3,5.13.2,2022-12-24,1295,42.5,3.55,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,junit-jupiter,4.13.5,2025-06-26,380,12.5,1.04,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,black,3.15.3,2024-12-11,577,19.0,1.58,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,psycopg2,1.3.8,2025-04-20,447,14.7,1.22,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pydantic,5.8.4,2025-07-12,364,12.0,1.0,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,log4j-api,2.3.3,2025-05-13,424,13.9,1.16,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,paramiko,1.2.4,2025-07-16,360,11.8,0.99,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,markupsafe,2.15.7,2025-11-13,240,7.9,0.66,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,pandas,5.5.10,2021-07-19,1818,59.7,4.98,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,bandit,1.2.8,2025-03-11,487,16.0,1.33,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,cryptography,4.12.9,2024-09-18,661,21.7,1.81,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,sqlalchemy,5.8.8,2025-02-05,521,17.1,1.43,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,redis-py,2.10.6,2024-09-04,675,22.2,1.85,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pyyaml,2.15.5,2024-12-12,576,18.9,1.58,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,node-fetch,2.11.2,2024-06-07,764,25.1,2.09,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,httpx,4.5.8,2025-08-08,337,11.1,0.92,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,coverage,2.14.1,2025-06-24,382,12.6,1.05,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,zap,2.8.3,2025-01-02,555,18.2,1.52,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,fastapi,5.4.9,2025-08-17,328,10.8,0.9,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,mocha,2.10.7,2020-11-30,2049,67.3,5.61,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,jinja2,3.15.10,2025-02-19,507,16.7,1.39,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,python-dateutil,5.6.9,2025-04-29,438,14.4,1.2,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,flask,5.9.7,2025-08-06,339,11.1,0.93,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,wheel,2.10.3,2025-03-05,493,16.2,1.35,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,certifi,2.0.2,2025-01-02,555,18.2,1.52,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,botocore,4.1.0,2024-11-07,611,20.1,1.67,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,rich,4.9.3,2024-11-22,596,19.6,1.63,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,ansible-core,3.10.7,2025-12-05,218,7.2,0.6,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,pyjwt,5.13.8,2024-08-31,679,22.3,1.86,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,fabric,5.4.5,2025-10-02,282,9.3,0.77,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,colly,3.9.3,2025-12-27,196,6.4,0.54,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,click,4.6.3,2025-01-12,545,17.9,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,celery,2.8.4,2024-12-10,578,19.0,1.58,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,uvicorn,2.2.4,2026-02-28,133,4.4,0.36,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,safety,4.3.5,2024-06-23,748,24.6,2.05,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,idna,2.1.4,2020-07-03,2199,72.2,6.02,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
InternalAPI,boto3,2.5.6,2024-07-03,738,24.2,2.02,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,django,1.4.6,2025-02-12,514,16.9,1.41,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,werkzeug,1.1.3,2024-07-05,736,24.2,2.02,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,urllib3,2.7.6,2024-01-31,892,29.3,2.44,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,scikit-learn,3.7.4,2024-09-24,655,21.5,1.79,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,gunicorn,3.0.2,2024-06-10,761,25.0,2.08,Outdated,High,Prioritize an upgrade or identify a supported replacement.
InternalAPI,go-redis,4.11.2,2026-02-24,137,4.5,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
InternalAPI,pytest,1.5.2,2025-04-21,446,14.7,1.22,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
InternalAPI,pillow,3.12.7,2024-10-16,633,20.8,1.73,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,coverage,5.12.10,2026-02-11,150,4.9,0.41,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,morgan,4.11.0,2024-08-19,691,22.7,1.89,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,sqlalchemy,5.13.1,2024-09-15,664,21.8,1.82,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,paramiko,5.10.10,2025-12-16,207,6.8,0.57,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,gunicorn,3.11.7,2025-11-13,240,7.9,0.66,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,numpy,1.9.3,2025-12-19,204,6.7,0.56,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,pytest,2.8.5,2022-03-29,1565,51.4,4.28,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,python-dateutil,2.15.9,2026-01-12,180,5.9,0.49,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,cors,4.13.1,2026-03-12,121,4.0,0.33,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,django,2.10.8,2026-01-31,161,5.3,0.44,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,mypy,2.4.5,2025-07-14,362,11.9,0.99,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,boto3,4.6.8,2025-08-15,330,10.8,0.9,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,httpx,3.6.5,2026-02-22,139,4.6,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,scipy,1.3.0,2024-06-15,756,24.8,2.07,Outdated,High,Prioritize an upgrade or identify a supported replacement.
HRPortal,moment,2.6.3,2024-10-23,626,20.6,1.71,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,fastapi,5.1.4,2025-09-20,294,9.7,0.8,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,twisted,3.11.1,2025-06-25,381,12.5,1.04,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,pyjwt,5.2.2,2021-05-21,1877,61.7,5.14,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,uuid,1.8.6,2025-01-17,540,17.7,1.48,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,formidable,4.4.1,2025-01-19,538,17.7,1.47,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,pyyaml,5.10.7,2024-12-25,563,18.5,1.54,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,idna,2.10.2,2025-04-07,460,15.1,1.26,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,bandit,1.8.9,2020-06-11,2221,73.0,6.08,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,ansible-core,3.5.6,2024-06-16,755,24.8,2.07,Outdated,High,Prioritize an upgrade or identify a supported replacement.
HRPortal,urllib3,4.12.0,2026-01-07,185,6.1,0.51,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,aiohttp,2.12.0,2025-08-25,320,10.5,0.88,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,pandas,5.4.7,2026-01-21,171,5.6,0.47,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,cryptography,2.14.1,2024-10-05,644,21.2,1.76,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,pydantic,4.11.1,2024-11-11,607,19.9,1.66,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,caffeine,2.4.2,2025-08-31,314,10.3,0.86,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,markupsafe,2.0.9,2025-10-24,260,8.5,0.71,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,typescript,4.13.7,2026-03-06,127,4.2,0.35,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,hibernate-validator,1.4.0,2022-05-03,1530,50.3,4.19,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,botocore,1.13.8,2025-11-22,231,7.6,0.63,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,safety,1.2.7,2026-02-14,147,4.8,0.4,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,flask,4.7.2,2024-06-02,769,25.3,2.11,Outdated,High,Prioritize an upgrade or identify a supported replacement.
HRPortal,pillow,1.0.7,2026-02-21,140,4.6,0.38,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,rich,4.0.5,2021-02-16,1971,64.8,5.4,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,charset-normalizer,3.4.1,2024-09-25,654,21.5,1.79,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,requests,3.6.0,2026-04-20,82,2.7,0.22,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,bcrypt,1.10.2,2025-05-10,427,14.0,1.17,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,click,1.8.4,2024-12-31,557,18.3,1.53,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,hibernate-core,3.12.5,2022-02-07,1615,53.1,4.42,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRPortal,celery,2.9.6,2025-04-19,448,14.7,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,psycopg2,3.6.1,2025-04-06,461,15.1,1.26,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,six,2.8.4,2024-09-03,676,22.2,1.85,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,scikit-learn,4.8.2,2025-04-14,453,14.9,1.24,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,setuptools,2.12.1,2024-12-28,560,18.4,1.53,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRPortal,uvicorn,4.6.8,2026-01-30,162,5.3,0.44,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRPortal,matplotlib,1.5.7,2025-04-16,451,14.8,1.23,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,moment,1.14.1,2025-01-16,541,17.8,1.48,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,formidable,5.8.5,2025-04-29,438,14.4,1.2,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,cheerio,3.15.7,2020-07-29,2173,71.4,5.95,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
AnalyticsDashboard,bcrypt,1.9.8,2025-10-07,277,9.1,0.76,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,mocha,4.10.8,2026-01-09,183,6.0,0.5,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,nanoid,3.12.1,2025-10-20,264,8.7,0.72,Actively Maintained,Low,Continue monitoring releases and security advisories.
AnalyticsDashboard,winston,1.4.10,2024-12-28,560,18.4,1.53,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,sequelize,3.2.9,2024-10-09,640,21.0,1.75,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,commander,2.13.9,2025-01-03,554,18.2,1.52,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
AnalyticsDashboard,dotenv,4.4.4,2024-10-26,623,20.5,1.71,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
