application,dependency_id,library,version,vulnerability_score,license_score,maintenance_score,dependency_depth_score,final_risk_score,final_risk_level,explanation
Payment Gateway,APP002_D07,MySQL Connector,2.0.0,73.0,100.0,0.0,25.0,60.35,High,Highest matched CVSS is 7.3; vulnerability severity score is 73.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D08,Redis Client,2.14.1,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D09,Netty,1.0.0,73.0,0.0,0.0,25.0,35.35,Medium,Highest matched CVSS is 7.3; vulnerability severity score is 73.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D10,Hibernate,2.0.0,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_T01,JUnit5,2.17.1,91.0,0.0,100.0,50.0,65.95,High,Highest matched CVSS is 9.1; vulnerability severity score is 91.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T02,SLF4J,2.14.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T03,Log4j,3.2.1,94.0,0.0,100.0,50.0,67.3,High,Highest matched CVSS is 9.4; vulnerability severity score is 94.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T04,SLF4J,1.5.0,67.0,100.0,40.0,50.0,68.15,High,Highest matched CVSS is 6.7; vulnerability severity score is 67.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T05,SLF4J,2.0.0,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T06,BouncyCastle,2.0.0,88.0,0.0,40.0,50.0,52.6,High,Highest matched CVSS is 8.8; vulnerability severity score is 88.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T07,Axios,2.14.1,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T08,Commons IO,1.5.0,66.0,100.0,100.0,50.0,79.7,Critical,Highest matched CVSS is 6.6; vulnerability severity score is 66.0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T09,Gson,3.0.0,96.0,0.0,40.0,50.0,56.2,High,Highest matched CVSS is 9.6; vulnerability severity score is 96.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T10,Axios,1.5.0,64.0,75.0,40.0,50.0,60.55,High,Highest matched CVSS is 6.4; vulnerability severity score is 64.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T11,Gson,1.0.0,44.0,0.0,40.0,50.0,32.8,Medium,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T12,Jackson,2.17.1,58.0,0.0,40.0,50.0,39.1,Medium,Highest matched CVSS is 5.8; vulnerability severity score is 58.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T13,Gson,1.0.0,44.0,0.0,40.0,50.0,32.8,Medium,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T14,Jackson,1.5.0,87.0,100.0,40.0,50.0,77.15,Critical,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T15,Tomcat,3.0.0,57.0,75.0,100.0,50.0,69.4,High,Highest matched CVSS is 5.7; vulnerability severity score is 57.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T16,Guava,3.0.0,61.0,75.0,40.0,50.0,59.2,High,Highest matched CVSS is 6.1; vulnerability severity score is 61.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T17,SnakeYAML,1.5.0,71.0,100.0,40.0,50.0,69.95,High,Highest matched CVSS is 7.1; vulnerability severity score is 71.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T18,SLF4J,1.5.0,67.0,100.0,40.0,50.0,68.15,High,Highest matched CVSS is 6.7; vulnerability severity score is 67.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T19,BouncyCastle,2.17.1,69.0,0.0,40.0,50.0,44.05,Medium,Highest matched CVSS is 6.9; vulnerability severity score is 69.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T20,Tomcat,1.0.0,95.0,0.0,40.0,50.0,55.75,High,Highest matched CVSS is 9.5; vulnerability severity score is 95.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T21,Lodash,3.0.0,77.0,100.0,40.0,50.0,72.65,High,Highest matched CVSS is 7.7; vulnerability severity score is 77.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T22,JUnit5,2.0.0,63.0,100.0,100.0,50.0,78.35,Critical,Highest matched CVSS is 6.3; vulnerability severity score is 63.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T23,Tomcat,1.5.0,87.0,100.0,40.0,50.0,77.15,Critical,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T24,Jackson,1.0.0,87.0,100.0,40.0,50.0,77.15,Critical,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T25,SnakeYAML,2.0.0,96.0,100.0,40.0,50.0,81.2,Critical,Highest matched CVSS is 9.6; vulnerability severity score is 96.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T26,BouncyCastle,1.0.0,90.0,100.0,40.0,50.0,78.5,Critical,Highest matched CVSS is 9.0; vulnerability severity score is 90.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_T27,OkHttp,1.5.0,59.0,100.0,40.0,50.0,64.55,High,Highest matched CVSS is 5.9; vulnerability severity score is 59.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
