application,dependency_id,library,version,dependency_type,cve_id,cvss,severity,patch_available,exploitability,description,fixed_version,affected_version_range
Customer Portal,APP001_T23,Jackson,3.0.0,Transitive,CVE-2025-1089,6.5,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T26,Gson,3.0.0,Transitive,CVE-2025-1079,9.3,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T26,Gson,3.0.0,Transitive,CVE-2025-1134,9.6,Medium,True,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T27,SnakeYAML,1.0.0,Transitive,CVE-2024-3001,8.8,High,True,High,Known vulnerability in SnakeYAML,2.0.0,1.0.0
Customer Portal,APP001_T27,SnakeYAML,1.0.0,Transitive,CVE-2025-1066,4.5,Medium,True,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T30,SLF4J,3.2.1,Transitive,CVE-2025-1112,9.2,Medium,False,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T31,Jackson,1.0.0,Transitive,CVE-2025-1178,8.7,Medium,True,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T32,Log4j,2.14.1,Transitive,CVE-2021-44228,10.0,Critical,True,High,Known vulnerability in Log4j,2.17.1,2.14.1
Customer Portal,APP001_T32,Log4j,2.14.1,Transitive,CVE-2025-1073,8.1,Medium,True,Medium,Synthetic record,latest,2.14.1
Customer Portal,APP001_T32,Log4j,2.14.1,Transitive,CVE-2025-1168,8.2,Medium,True,Medium,Synthetic record,latest,2.14.1
Customer Portal,APP001_T33,Guava,3.0.0,Transitive,CVE-2025-1176,6.1,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T34,BouncyCastle,1.5.0,Transitive,CVE-2025-1100,9.4,Medium,False,Medium,Synthetic record,latest,1.5.0
Customer Portal,APP001_T34,BouncyCastle,1.5.0,Transitive,CVE-2025-1111,4.8,Medium,True,Medium,Synthetic record,latest,1.5.0
Customer Portal,APP001_T36,SLF4J,1.0.0,Transitive,CVE-2025-1097,5.7,Medium,False,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T36,SLF4J,1.0.0,Transitive,CVE-2025-1187,8.5,Medium,False,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T37,OpenSSL,3.0.0,Transitive,CVE-2025-1145,8.3,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T38,Jackson,1.0.0,Transitive,CVE-2025-1178,8.7,Medium,True,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T39,Tomcat,3.0.0,Transitive,CVE-2025-1194,5.7,Medium,True,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T40,Gson,1.0.0,Transitive,CVE-2025-1055,4.4,Medium,False,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T40,Gson,1.0.0,Transitive,CVE-2025-1109,3.8,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_D01,Spring Boot,1.5.0,Direct,CVE-2025-1075,7.0,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_D04,FastAPI,2.14.1,Direct,CVE-2025-1153,8.7,Medium,True,Medium,Synthetic record,latest,2.14.1
Payment Gateway,APP002_D05,Kafka Client,3.0.0,Direct,CVE-2025-1033,4.7,Medium,False,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_D05,Kafka Client,3.0.0,Direct,CVE-2025-1042,8.8,Medium,True,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_D05,Kafka Client,3.0.0,Direct,CVE-2025-1050,4.7,Medium,False,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_D05,Kafka Client,3.0.0,Direct,CVE-2025-1056,6.7,Medium,True,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_D06,PostgreSQL JDBC,3.0.0,Direct,CVE-2025-1104,5.9,Medium,False,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_D07,MySQL Connector,2.0.0,Direct,CVE-2025-1122,7.3,Medium,True,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_D07,MySQL Connector,2.0.0,Direct,CVE-2025-1139,4.2,Medium,False,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_D09,Netty,1.0.0,Direct,CVE-2025-1116,7.3,Medium,False,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T01,JUnit5,2.17.1,Transitive,CVE-2025-1156,9.1,Medium,True,Medium,Synthetic record,latest,2.17.1
Payment Gateway,APP002_T03,Log4j,3.2.1,Transitive,CVE-2025-1043,8.3,Medium,False,Medium,Synthetic record,latest,3.2.1
Payment Gateway,APP002_T03,Log4j,3.2.1,Transitive,CVE-2025-1065,9.4,Medium,False,Medium,Synthetic record,latest,3.2.1
Payment Gateway,APP002_T03,Log4j,3.2.1,Transitive,CVE-2025-1086,4.2,Medium,True,Medium,Synthetic record,latest,3.2.1
Payment Gateway,APP002_T04,SLF4J,1.5.0,Transitive,CVE-2025-1013,6.7,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T04,SLF4J,1.5.0,Transitive,CVE-2025-1133,3.4,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T06,BouncyCastle,2.0.0,Transitive,CVE-2025-1018,6.2,Medium,False,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_T06,BouncyCastle,2.0.0,Transitive,CVE-2025-1146,7.9,Medium,False,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_T06,BouncyCastle,2.0.0,Transitive,CVE-2025-1183,8.8,Medium,False,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_T08,Commons IO,1.5.0,Transitive,CVE-2025-1113,6.6,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T09,Gson,3.0.0,Transitive,CVE-2025-1079,9.3,Medium,False,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_T09,Gson,3.0.0,Transitive,CVE-2025-1134,9.6,Medium,True,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_T10,Axios,1.5.0,Transitive,CVE-2025-1017,6.4,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T10,Axios,1.5.0,Transitive,CVE-2025-1120,3.3,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T11,Gson,1.0.0,Transitive,CVE-2025-1055,4.4,Medium,False,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T11,Gson,1.0.0,Transitive,CVE-2025-1109,3.8,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T12,Jackson,2.17.1,Transitive,CVE-2025-1119,5.8,Medium,False,Medium,Synthetic record,latest,2.17.1
Payment Gateway,APP002_T13,Gson,1.0.0,Transitive,CVE-2025-1055,4.4,Medium,False,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T13,Gson,1.0.0,Transitive,CVE-2025-1109,3.8,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T14,Jackson,1.5.0,Transitive,CVE-2025-1005,5.7,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T14,Jackson,1.5.0,Transitive,CVE-2025-1130,8.7,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T14,Jackson,1.5.0,Transitive,CVE-2025-1199,5.5,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T15,Tomcat,3.0.0,Transitive,CVE-2025-1194,5.7,Medium,True,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_T16,Guava,3.0.0,Transitive,CVE-2025-1176,6.1,Medium,False,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_T17,SnakeYAML,1.5.0,Transitive,CVE-2025-1173,7.1,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T18,SLF4J,1.5.0,Transitive,CVE-2025-1013,6.7,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T18,SLF4J,1.5.0,Transitive,CVE-2025-1133,3.4,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T19,BouncyCastle,2.17.1,Transitive,CVE-2025-1025,6.9,Medium,False,Medium,Synthetic record,latest,2.17.1
Payment Gateway,APP002_T19,BouncyCastle,2.17.1,Transitive,CVE-2025-1057,5.0,Medium,True,Medium,Synthetic record,latest,2.17.1
Payment Gateway,APP002_T19,BouncyCastle,2.17.1,Transitive,CVE-2025-1082,5.2,Medium,False,Medium,Synthetic record,latest,2.17.1
Payment Gateway,APP002_T20,Tomcat,1.0.0,Transitive,CVE-2025-1048,9.5,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T21,Lodash,3.0.0,Transitive,CVE-2025-1164,7.7,Medium,True,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_T22,JUnit5,2.0.0,Transitive,CVE-2025-1054,6.3,Medium,True,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_T23,Tomcat,1.5.0,Transitive,CVE-2025-1096,8.7,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T23,Tomcat,1.5.0,Transitive,CVE-2025-1191,4.2,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T23,Tomcat,1.5.0,Transitive,CVE-2025-1196,6.1,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T24,Jackson,1.0.0,Transitive,CVE-2025-1178,8.7,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T25,SnakeYAML,2.0.0,Transitive,CVE-2025-1019,4.7,Medium,True,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_T25,SnakeYAML,2.0.0,Transitive,CVE-2025-1137,9.6,Medium,False,Medium,Synthetic record,latest,2.0.0
Payment Gateway,APP002_T26,BouncyCastle,1.0.0,Transitive,CVE-2025-1090,9.0,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T26,BouncyCastle,1.0.0,Transitive,CVE-2025-1162,7.2,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T27,OkHttp,1.5.0,Transitive,CVE-2025-1115,5.9,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T29,Log4j,3.2.1,Transitive,CVE-2025-1043,8.3,Medium,False,Medium,Synthetic record,latest,3.2.1
Payment Gateway,APP002_T29,Log4j,3.2.1,Transitive,CVE-2025-1065,9.4,Medium,False,Medium,Synthetic record,latest,3.2.1
Payment Gateway,APP002_T29,Log4j,3.2.1,Transitive,CVE-2025-1086,4.2,Medium,True,Medium,Synthetic record,latest,3.2.1
Payment Gateway,APP002_T30,Gson,1.0.0,Transitive,CVE-2025-1055,4.4,Medium,False,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T30,Gson,1.0.0,Transitive,CVE-2025-1109,3.8,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T31,OpenSSL,2.14.1,Transitive,CVE-2025-1037,9.5,Medium,True,Medium,Synthetic record,latest,2.14.1
Payment Gateway,APP002_T31,OpenSSL,2.14.1,Transitive,CVE-2025-1128,6.7,Medium,False,Medium,Synthetic record,latest,2.14.1
Payment Gateway,APP002_T32,Guava,2.17.1,Transitive,CVE-2025-1088,7.9,Medium,True,Medium,Synthetic record,latest,2.17.1
Payment Gateway,APP002_T33,Tomcat,1.5.0,Transitive,CVE-2025-1096,8.7,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T33,Tomcat,1.5.0,Transitive,CVE-2025-1191,4.2,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T33,Tomcat,1.5.0,Transitive,CVE-2025-1196,6.1,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T34,Guava,3.0.0,Transitive,CVE-2025-1176,6.1,Medium,False,Medium,Synthetic record,latest,3.0.0
Payment Gateway,APP002_T35,Tomcat,1.0.0,Transitive,CVE-2025-1048,9.5,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T36,Gson,1.5.0,Transitive,CVE-2025-1085,6.6,Medium,True,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T36,Gson,1.5.0,Transitive,CVE-2025-1095,7.8,Medium,False,Medium,Synthetic record,latest,1.5.0
Payment Gateway,APP002_T37,Lodash,3.2.1,Transitive,CVE-2025-1190,4.9,Medium,True,Medium,Synthetic record,latest,3.2.1
Payment Gateway,APP002_T38,Jackson,2.14.1,Transitive,CVE-2025-1105,4.3,Medium,False,Medium,Synthetic record,latest,2.14.1
Payment Gateway,APP002_T39,Tomcat,1.0.0,Transitive,CVE-2025-1048,9.5,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T40,BouncyCastle,1.0.0,Transitive,CVE-2025-1090,9.0,Medium,True,Medium,Synthetic record,latest,1.0.0
Payment Gateway,APP002_T40,BouncyCastle,1.0.0,Transitive,CVE-2025-1162,7.2,Medium,True,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_D01,Spring Boot,1.5.0,Direct,CVE-2025-1075,7.0,Medium,False,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_D02,React,1.0.0,Direct,CVE-2025-1008,5.9,Medium,True,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_D02,React,1.0.0,Direct,CVE-2025-1125,3.1,Medium,True,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_D03,Express,2.17.1,Direct,CVE-2025-1117,8.8,Medium,True,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_D03,Express,2.17.1,Direct,CVE-2025-1163,4.0,Medium,False,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_D03,Express,2.17.1,Direct,CVE-2025-1172,3.6,Medium,False,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_D05,Kafka Client,2.0.0,Direct,CVE-2025-1101,9.0,Medium,False,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_D05,Kafka Client,2.0.0,Direct,CVE-2025-1147,7.9,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_D07,MySQL Connector,3.0.0,Direct,CVE-2025-1064,7.1,Medium,False,Medium,Synthetic record,latest,3.0.0
HRMS,APP003_D07,MySQL Connector,3.0.0,Direct,CVE-2025-1099,5.1,Medium,True,Medium,Synthetic record,latest,3.0.0
HRMS,APP003_D08,Redis Client,3.0.0,Direct,CVE-2025-1102,9.5,Medium,False,Medium,Synthetic record,latest,3.0.0
HRMS,APP003_D08,Redis Client,3.0.0,Direct,CVE-2025-1159,8.1,Medium,True,Medium,Synthetic record,latest,3.0.0
HRMS,APP003_D09,Netty,2.0.0,Direct,CVE-2025-1040,3.0,Medium,False,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_D09,Netty,2.0.0,Direct,CVE-2025-1124,8.5,Medium,False,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_D09,Netty,2.0.0,Direct,CVE-2025-1181,3.4,Medium,False,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_D10,Hibernate,1.0.0,Direct,CVE-2025-1169,9.4,Medium,True,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_T03,Jackson,3.2.1,Transitive,CVE-2025-1179,5.3,Medium,False,Medium,Synthetic record,latest,3.2.1
HRMS,APP003_T05,Tomcat,3.2.1,Transitive,CVE-2025-1014,7.6,Medium,True,Medium,Synthetic record,latest,3.2.1
HRMS,APP003_T06,OkHttp,2.0.0,Transitive,CVE-2025-1094,6.1,Medium,False,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T06,OkHttp,2.0.0,Transitive,CVE-2025-1114,3.6,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T06,OkHttp,2.0.0,Transitive,CVE-2025-1135,3.3,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T07,Gson,3.2.1,Transitive,CVE-2025-1150,6.4,Medium,True,Medium,Synthetic record,latest,3.2.1
HRMS,APP003_T08,Commons IO,2.14.1,Transitive,CVE-2025-1044,5.7,Medium,False,Medium,Synthetic record,latest,2.14.1
HRMS,APP003_T09,Jackson,3.2.1,Transitive,CVE-2025-1179,5.3,Medium,False,Medium,Synthetic record,latest,3.2.1
HRMS,APP003_T10,OpenSSL,2.0.0,Transitive,CVE-2025-1077,4.1,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T12,Axios,1.5.0,Transitive,CVE-2025-1017,6.4,Medium,False,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T12,Axios,1.5.0,Transitive,CVE-2025-1120,3.3,Medium,True,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T13,JUnit5,2.0.0,Transitive,CVE-2025-1054,6.3,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T15,Axios,1.0.0,Transitive,CVE-2025-1047,3.7,Medium,True,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_T17,Commons IO,1.5.0,Transitive,CVE-2025-1113,6.6,Medium,False,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T19,Tomcat,2.17.1,Transitive,CVE-2025-1188,4.4,Medium,True,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_T20,Guava,1.5.0,Transitive,CVE-2025-1067,5.3,Medium,False,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T20,Guava,1.5.0,Transitive,CVE-2025-1071,6.0,Medium,False,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T20,Guava,1.5.0,Transitive,CVE-2025-1103,9.7,Medium,True,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T21,BouncyCastle,1.0.0,Transitive,CVE-2025-1090,9.0,Medium,True,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_T21,BouncyCastle,1.0.0,Transitive,CVE-2025-1162,7.2,Medium,True,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_T23,SLF4J,1.0.0,Transitive,CVE-2025-1097,5.7,Medium,False,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_T23,SLF4J,1.0.0,Transitive,CVE-2025-1187,8.5,Medium,False,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_T24,Tomcat,3.0.0,Transitive,CVE-2025-1194,5.7,Medium,True,Medium,Synthetic record,latest,3.0.0
HRMS,APP003_T25,Commons IO,1.5.0,Transitive,CVE-2025-1113,6.6,Medium,False,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T26,Gson,2.14.1,Transitive,CVE-2025-1021,9.0,Medium,False,Medium,Synthetic record,latest,2.14.1
HRMS,APP003_T26,Gson,2.14.1,Transitive,CVE-2025-1023,4.1,Medium,False,Medium,Synthetic record,latest,2.14.1
HRMS,APP003_T26,Gson,2.14.1,Transitive,CVE-2025-1092,6.8,Medium,True,Medium,Synthetic record,latest,2.14.1
HRMS,APP003_T26,Gson,2.14.1,Transitive,CVE-2025-1126,4.7,Medium,False,Medium,Synthetic record,latest,2.14.1
HRMS,APP003_T28,OpenSSL,2.17.1,Transitive,CVE-2025-1151,8.4,Medium,True,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_T28,OpenSSL,2.17.1,Transitive,CVE-2025-1157,3.4,Medium,False,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_T31,Log4j,2.0.0,Transitive,CVE-2025-1093,7.2,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T32,Axios,2.0.0,Transitive,CVE-2025-1051,6.2,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T33,Log4j,3.0.0,Transitive,CVE-2025-1084,7.0,Medium,False,Medium,Synthetic record,latest,3.0.0
HRMS,APP003_T35,Commons IO,1.5.0,Transitive,CVE-2025-1113,6.6,Medium,False,Medium,Synthetic record,latest,1.5.0
HRMS,APP003_T36,Commons IO,2.0.0,Transitive,CVE-2025-1101,7.5,High,True,High,Known vulnerability in Commons IO,2.1.0,2.0.0
HRMS,APP003_T36,Commons IO,2.0.0,Transitive,CVE-2025-1108,6.5,Medium,False,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T36,Commons IO,2.0.0,Transitive,CVE-2025-1131,9.7,Medium,True,Medium,Synthetic record,latest,2.0.0
HRMS,APP003_T37,BouncyCastle,2.17.1,Transitive,CVE-2025-1025,6.9,Medium,False,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_T37,BouncyCastle,2.17.1,Transitive,CVE-2025-1057,5.0,Medium,True,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_T37,BouncyCastle,2.17.1,Transitive,CVE-2025-1082,5.2,Medium,False,Medium,Synthetic record,latest,2.17.1
HRMS,APP003_T38,Guava,1.0.0,Transitive,CVE-2025-1032,4.5,Medium,False,Medium,Synthetic record,latest,1.0.0
HRMS,APP003_T38,Guava,1.0.0,Transitive,CVE-2025-1034,4.1,Medium,False,Medium,Synthetic record,latest,1.0.0
Inventory Service,APP004_D01,Spring Boot,3.2.1,Direct,CVE-2025-1063,4.9,Medium,False,Medium,Synthetic record,latest,3.2.1
Inventory Service,APP004_D02,React,3.0.0,Direct,CVE-2025-1029,7.8,Medium,False,Medium,Synthetic record,latest,3.0.0
Inventory Service,APP004_D02,React,3.0.0,Direct,CVE-2025-1189,5.8,Medium,True,Medium,Synthetic record,latest,3.0.0
Inventory Service,APP004_D03,Express,1.0.0,Direct,CVE-2025-1152,3.3,Medium,False,Medium,Synthetic record,latest,1.0.0
Inventory Service,APP004_D04,FastAPI,1.0.0,Direct,CVE-2025-1110,4.8,Medium,True,Medium,Synthetic record,latest,1.0.0
Inventory Service,APP004_D04,FastAPI,1.0.0,Direct,CVE-2025-1184,8.7,Medium,False,Medium,Synthetic record,latest,1.0.0
Inventory Service,APP004_D07,MySQL Connector,2.0.0,Direct,CVE-2025-1122,7.3,Medium,True,Medium,Synthetic record,latest,2.0.0
Inventory Service,APP004_D07,MySQL Connector,2.0.0,Direct,CVE-2025-1139,4.2,Medium,False,Medium,Synthetic record,latest,2.0.0
Inventory Service,APP004_D09,Netty,1.0.0,Direct,CVE-2025-1116,7.3,Medium,False,Medium,Synthetic record,latest,1.0.0
Inventory Service,APP004_T01,JUnit5,2.17.1,Transitive,CVE-2025-1156,9.1,Medium,True,Medium,Synthetic record,latest,2.17.1
Inventory Service,APP004_T02,BouncyCastle,1.0.0,Transitive,CVE-2025-1090,9.0,Medium,True,Medium,Synthetic record,latest,1.0.0
Inventory Service,APP004_T02,BouncyCastle,1.0.0,Transitive,CVE-2025-1162,7.2,Medium,True,Medium,Synthetic record,latest,1.0.0
Inventory Service,APP004_T03,Jetty,3.2.1,Transitive,CVE-2025-1027,6.1,Medium,True,Medium,Synthetic record,latest,3.2.1
