application,library,version,license,compatibility_status,severity,reason,recommendation
CustomerPortal,mysql-connector-java,4.2.3,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,sarama,5.0.2,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,tomcat-embed-core,2.7.8,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,fabric,3.0.6,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,commons-io,2.4.6,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,spring-core,2.9.0,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,assertj-core,3.6.6,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,jackson-core,4.9.1,AGPL-3.0,Incompatible,CRITICAL,AGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
CustomerPortal,hibernate-core,3.4.1,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,disruptor,2.2.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,spring-web,2.11.0,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,logback-classic,4.11.0,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,eslint,2.10.8,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,aws-sdk-s3,2.4.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,crypto-go,3.10.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,httpcore,3.4.4,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,netty-handler,1.7.3,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,caffeine,4.4.5,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,aws-sdk-s3,2.0.9,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,resilience4j,5.1.10,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,snakeyaml,3.15.2,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,vue,3.3.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,httpcore,5.15.3,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,logback-core,4.9.4,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,grpc-core,3.11.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,httpclient,4.14.4,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,guava,1.5.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,aws-sdk-sqs,2.15.7,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,redis-py,4.11.10,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,jedis,2.15.7,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,spring-boot-starter,4.7.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,spring-web,4.0.1,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
PaymentService,hibernate-validator,4.10.5,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,assertj-core,2.0.5,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,jackson-core,4.3.4,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,netty-all,5.4.7,AGPL-3.0,Incompatible,CRITICAL,AGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
PaymentService,tomcat-embed-core,5.10.8,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,postgresql-jdbc,2.13.9,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,slf4j-api,2.5.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,micrometer-core,5.9.6,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,mapstruct,2.9.10,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,golangci-lint,4.3.9,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,hibernate-core,3.1.6,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,jackson-databind,2.11.9,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,kafka-clients,1.10.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,log4j-api,5.11.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,psycopg2,1.11.3,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,commons-collections4,3.14.3,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,junit-jupiter,5.9.0,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,jetty-server,2.10.8,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,mysql-connector-java,1.6.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,bouncycastle-bcprov,2.8.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,h2-database,1.12.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,jackson-annotations,3.9.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,testify,2.2.6,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,morgan,3.0.8,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,protobuf-java,3.3.5,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,disruptor,2.3.4,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,commons-lang3,4.10.8,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,commons-codec,3.5.2,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,logback-classic,3.7.7,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,lombok,3.12.5,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,log4j-core,4.4.5,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,spring-core,3.7.8,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,aiohttp,2.4.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,netty-handler,4.12.3,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
PaymentService,bandit,3.6.3,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,requests,4.15.9,GPL-2.0,Incompatible,CRITICAL,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
InternalAPI,pip,2.4.2,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,twisted,2.5.2,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
InternalAPI,setuptools,2.12.9,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,numpy,5.8.2,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,aws-sdk-s3,5.13.2,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,junit-jupiter,4.13.5,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,black,3.15.3,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,psycopg2,1.3.8,AGPL-3.0,Incompatible,CRITICAL,AGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
InternalAPI,pydantic,5.8.4,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,log4j-api,2.3.3,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,paramiko,1.2.4,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,markupsafe,2.15.7,AGPL-3.0,Incompatible,CRITICAL,AGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
InternalAPI,pandas,5.5.10,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,bandit,1.2.8,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,cryptography,4.12.9,GPL-2.0,Incompatible,CRITICAL,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
InternalAPI,sqlalchemy,5.8.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,redis-py,2.10.6,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,pyyaml,2.15.5,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,node-fetch,2.11.2,LGPL-3.0,Compatible,Low,LGPL-3.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,httpx,4.5.8,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,coverage,2.14.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,zap,2.8.3,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,fastapi,5.4.9,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,mocha,2.10.7,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,jinja2,3.15.10,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,python-dateutil,5.6.9,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,flask,5.9.7,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,wheel,2.10.3,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,certifi,2.0.2,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,botocore,4.1.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,rich,4.9.3,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,ansible-core,3.10.7,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,pyjwt,5.13.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,fabric,5.4.5,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,colly,3.9.3,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,click,4.6.3,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,celery,2.8.4,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,uvicorn,2.2.4,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,safety,4.3.5,GPL-2.0,Incompatible,CRITICAL,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
InternalAPI,idna,2.1.4,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,boto3,2.5.6,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,django,1.4.6,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,werkzeug,1.1.3,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,urllib3,2.7.6,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,scikit-learn,3.7.4,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,gunicorn,3.0.2,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,go-redis,4.11.2,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,pytest,1.5.2,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
InternalAPI,pillow,3.12.7,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
HRPortal,coverage,5.12.10,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,morgan,4.11.0,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,sqlalchemy,5.13.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,paramiko,5.10.10,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,gunicorn,3.11.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,numpy,1.9.3,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,pytest,2.8.5,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,python-dateutil,2.15.9,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,cors,4.13.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,django,2.10.8,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,mypy,2.4.5,LGPL-2.1,Compatible,Low,LGPL-2.1 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,boto3,4.6.8,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,httpx,3.6.5,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,scipy,1.3.0,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,moment,2.6.3,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,fastapi,5.1.4,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,twisted,3.11.1,AGPL-3.0,Incompatible,CRITICAL,AGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
HRPortal,pyjwt,5.2.2,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,uuid,1.8.6,LGPL-3.0,Compatible,Low,LGPL-3.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,formidable,4.4.1,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,pyyaml,5.10.7,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,idna,2.10.2,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,bandit,1.8.9,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,ansible-core,3.5.6,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
HRPortal,urllib3,4.12.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
