dependency_id,risk_status,risk_type,severity,explanation
APP007_T10,Clean,None,Low,No issues
APP007_T11,Clean,None,Low,No issues
APP007_T12,Clean,None,Low,No issues
APP007_T13,Clean,None,Low,No issues
APP007_T14,Clean,None,Low,No issues
APP007_T15,Risk,Maintenance,Medium,No updates in 2+ years
APP007_T16,Clean,None,Low,No issues
APP007_T17,Clean,None,Low,No issues
APP007_T18,Clean,None,Low,No issues
APP007_T19,Clean,None,Low,No issues
APP007_T20,Clean,None,Low,No issues
APP007_T21,Risk,License,Critical,GPL used in proprietary application
APP007_T22,Risk,Maintenance,Medium,No updates in 2+ years
APP007_T23,Clean,None,Low,No issues
APP007_T24,Risk,License,Critical,GPL used in proprietary application
APP007_T25,Clean,None,Low,No issues
APP007_T26,Clean,None,Low,No issues
APP007_T27,Clean,None,Low,No issues
APP007_T28,Risk,License,Critical,GPL used in proprietary application
APP007_T29,Risk,Maintenance,Medium,No updates in 2+ years
APP007_T30,Clean,None,Low,No issues
APP007_T31,Clean,None,Low,No issues
APP007_T32,Clean,None,Low,No issues
APP007_T33,Clean,None,Low,No issues
APP007_T34,Risk,Vulnerability,Critical,Affected by CVE-2023-9999
APP007_T35,Clean,None,Low,No issues
APP007_T36,Risk,Maintenance,Medium,No updates in 2+ years
APP007_T37,Clean,None,Low,No issues
APP007_T38,Clean,None,Low,No issues
APP007_T39,Clean,None,Low,No issues
APP007_T40,Clean,None,Low,No issues
APP008_D01,Clean,None,Low,No issues
APP008_D02,Clean,None,Low,No issues
APP008_D03,Clean,None,Low,No issues
APP008_D04,Clean,None,Low,No issues
APP008_D05,Clean,None,Low,No issues
APP008_D06,Clean,None,Low,No issues
APP008_D07,Clean,None,Low,No issues
APP008_D08,Clean,None,Low,No issues
APP008_D09,Clean,None,Low,No issues
APP008_D10,Clean,None,Low,No issues
APP008_T01,Risk,License,Critical,GPL used in proprietary application
APP008_T02,Risk,License,Critical,GPL used in proprietary application
APP008_T03,Risk,Vulnerability,Critical,Affected by CVE-2023-9999
APP008_T04,Clean,None,Low,No issues
APP008_T05,Clean,None,Low,No issues
APP008_T06,Clean,None,Low,No issues
APP008_T07,Clean,None,Low,No issues
APP008_T08,Risk,Maintenance,Medium,No updates in 2+ years
APP008_T09,Clean,None,Low,No issues
APP008_T10,Clean,None,Low,No issues
APP008_T11,Clean,None,Low,No issues
APP008_T12,Clean,None,Low,No issues
APP008_T13,Clean,None,Low,No issues
APP008_T14,Clean,None,Low,No issues
APP008_T15,Risk,Maintenance,Medium,No updates in 2+ years
APP008_T16,Risk,Vulnerability,Critical,Affected by CVE-2023-9999
APP008_T17,Clean,None,Low,No issues
APP008_T18,Clean,None,Low,No issues
APP008_T19,Clean,None,Low,No issues
APP008_T20,Clean,None,Low,No issues
APP008_T21,Clean,None,Low,No issues
APP008_T22,Risk,Maintenance,Medium,No updates in 2+ years
APP008_T23,Clean,None,Low,No issues
APP008_T24,Risk,Vulnerability,Critical,Affected by CVE-2024-3001
APP008_T25,Clean,None,Low,No issues
APP008_T26,Clean,None,Low,No issues
APP008_T27,Clean,None,Low,No issues
APP008_T28,Risk,Vulnerability,Critical,Affected by CVE-2021-44228
APP008_T29,Risk,Maintenance,Medium,No updates in 2+ years
APP008_T30,Clean,None,Low,No issues
APP008_T31,Clean,None,Low,No issues
APP008_T32,Clean,None,Low,No issues
APP008_T33,Clean,None,Low,No issues
APP008_T34,Clean,None,Low,No issues
APP008_T35,Clean,None,Low,No issues
APP008_T36,Risk,Maintenance,Medium,No updates in 2+ years
APP008_T37,Clean,None,Low,No issues
APP008_T38,Clean,None,Low,No issues
APP008_T39,Clean,None,Low,No issues
APP008_T40,Risk,License,Critical,GPL used in proprietary application
APP009_D01,Clean,None,Low,No issues
APP009_D02,Risk,License,Critical,GPL used in proprietary application
APP009_D03,Clean,None,Low,No issues
APP009_D04,Clean,None,Low,No issues
APP009_D05,Clean,None,Low,No issues
APP009_D06,Clean,None,Low,No issues
APP009_D07,Clean,None,Low,No issues
APP009_D08,Clean,None,Low,No issues
APP009_D09,Clean,None,Low,No issues
APP009_D10,Risk,License,Critical,GPL used in proprietary application
APP009_T01,Risk,Maintenance,Medium,No updates in 2+ years
APP009_T02,Clean,None,Low,No issues
APP009_T03,Clean,None,Low,No issues
APP009_T04,Clean,None,Low,No issues
APP009_T05,Risk,License,Critical,GPL used in proprietary application
APP009_T06,Clean,None,Low,No issues
APP009_T07,Clean,None,Low,No issues
APP009_T08,Risk,Vulnerability,Critical,Affected by CVE-2025-1101
APP009_T09,Clean,None,Low,No issues
APP009_T10,Clean,None,Low,No issues
APP009_T11,Clean,None,Low,No issues
APP009_T12,Clean,None,Low,No issues
APP009_T13,Clean,None,Low,No issues
APP009_T14,Clean,None,Low,No issues
APP009_T15,Risk,Maintenance,Medium,No updates in 2+ years
APP009_T16,Clean,None,Low,No issues
APP009_T17,Clean,None,Low,No issues
APP009_T18,Clean,None,Low,No issues
APP009_T19,Risk,Vulnerability,Critical,Affected by CVE-2021-44228
APP009_T20,Clean,None,Low,No issues
APP009_T21,Clean,None,Low,No issues
APP009_T22,Risk,License,Critical,GPL used in proprietary application
APP009_T23,Clean,None,Low,No issues
APP009_T24,Clean,None,Low,No issues
APP009_T25,Clean,None,Low,No issues
APP009_T26,Clean,None,Low,No issues
APP009_T27,Risk,License,Critical,GPL used in proprietary application
APP009_T28,Clean,None,Low,No issues
APP009_T29,Risk,License,Critical,GPL used in proprietary application
APP009_T30,Clean,None,Low,No issues
APP009_T31,Clean,None,Low,No issues
APP009_T32,Risk,Vulnerability,Critical,Affected by CVE-2025-1101
APP009_T33,Clean,None,Low,No issues
APP009_T34,Clean,None,Low,No issues
APP009_T35,Clean,None,Low,No issues
APP009_T36,Risk,Maintenance,Medium,No updates in 2+ years
APP009_T37,Clean,None,Low,No issues
APP009_T38,Clean,None,Low,No issues
APP009_T39,Clean,None,Low,No issues
APP009_T40,Clean,None,Low,No issues
APP010_D01,Clean,None,Low,No issues
APP010_D02,Clean,None,Low,No issues
APP010_D03,Clean,None,Low,No issues
APP010_D04,Clean,None,Low,No issues
APP010_D05,Clean,None,Low,No issues
APP010_D06,Clean,None,Low,No issues
APP010_D07,Clean,None,Low,No issues
APP010_D08,Clean,None,Low,No issues
APP010_D09,Clean,None,Low,No issues
APP010_D10,Clean,None,Low,No issues
APP010_T01,Risk,Maintenance,Medium,No updates in 2+ years
APP010_T02,Risk,License,Critical,GPL used in proprietary application
APP010_T03,Clean,None,Low,No issues
APP010_T04,Clean,None,Low,No issues
APP010_T05,Risk,License,Critical,GPL used in proprietary application
APP010_T06,Risk,License,Critical,GPL used in proprietary application
APP010_T07,Clean,None,Low,No issues
APP010_T08,Risk,Maintenance,Medium,No updates in 2+ years
APP010_T09,Clean,None,Low,No issues
APP010_T10,Clean,None,Low,No issues
APP010_T11,Clean,None,Low,No issues
APP010_T12,Clean,None,Low,No issues
APP010_T13,Clean,None,Low,No issues
APP010_T14,Clean,None,Low,No issues
APP010_T15,Risk,Maintenance,Medium,No updates in 2+ years
APP010_T16,Clean,None,Low,No issues
APP010_T17,Clean,None,Low,No issues
APP010_T18,Risk,License,Critical,GPL used in proprietary application
APP010_T19,Clean,None,Low,No issues
APP010_T20,Clean,None,Low,No issues
APP010_T21,Clean,None,Low,No issues
APP010_T22,Risk,Maintenance,Medium,No updates in 2+ years
APP010_T23,Clean,None,Low,No issues
APP010_T24,Clean,None,Low,No issues
APP010_T25,Clean,None,Low,No issues
APP010_T26,Clean,None,Low,No issues
APP010_T27,Clean,None,Low,No issues
APP010_T28,Clean,None,Low,No issues
APP010_T29,Risk,Maintenance,Medium,No updates in 2+ years
APP010_T30,Clean,None,Low,No issues
APP010_T31,Clean,None,Low,No issues
APP010_T32,Risk,Vulnerability,Critical,Affected by CVE-2024-3001
APP010_T33,Clean,None,Low,No issues
APP010_T34,Clean,None,Low,No issues
APP010_T35,Clean,None,Low,No issues
APP010_T36,Risk,License,Critical,GPL used in proprietary application
APP010_T37,Clean,None,Low,No issues
APP010_T38,Clean,None,Low,No issues
APP010_T39,Clean,None,Low,No issues
APP010_T40,Clean,None,Low,No issues
